source,passtime,time,mode,vbatt,ibatt,ibus3v3,ibus5v0,comm_temp,eps_temp,batt_temp,power,service_e,service_r,byline
aalto,2017-05-18T00:21:00Z,2000-10-30T21:05:31Z,0,8.100,0.094,0.125,0.000,-15.000,2.250,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:05:41Z,0,8.100,0.094,0.125,0.000,-15.000,2.250,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:05:51Z,0,8.100,0.094,0.125,0.000,-15.000,2.250,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:06:01Z,0,8.100,0.094,0.125,0.000,-15.000,2.250,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:06:11Z,0,8.100,0.094,0.125,0.000,-15.000,2.250,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:06:31Z,0,8.100,0.094,0.125,0.000,-15.000,2.250,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:07:01Z,0,8.150,0.094,0.125,0.000,-15.000,2.000,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:07:11Z,0,8.150,0.094,0.125,0.000,-15.000,1.500,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:07:21Z,0,8.200,0.094,0.125,0.000,-15.000,1.500,4.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:07:41Z,0,8.200,0.094,0.125,0.000,-15.000,1.500,3.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:07:51Z,0,8.150,0.094,0.125,0.000,-15.000,1.500,3.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:08:01Z,0,8.150,0.094,0.125,0.000,-15.000,1.500,3.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:08:11Z,0,8.200,0.094,0.125,0.000,-15.000,1.500,3.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:08:31Z,0,8.250,0.094,0.125,0.000,-15.000,1.500,3.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:08:41Z,0,8.200,0.094,0.125,0.000,-15.000,1.500,3.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:11:41Z,0,8.250,0.094,0.125,0.000,-15.000,0.500,2.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:11:51Z,0,8.200,0.094,0.125,0.000,-15.000,0.500,2.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T00:21:00Z,2000-10-30T21:12:31Z,0,8.250,0.094,0.125,0.000,-15.000,0.500,2.000,0x00,0x00,0x00,"~OPEN COSMOS~"
aalto,2017-05-18T03:56:00Z,2000-10-30T22:41:01Z,0,8.250,0.094,0.125,0.000,-15.000,1.500,3.000,0x00,0x00,0x00,"~OPEN COSMOS~"
